period_month,country_code,country_name,headline,core,energy,food,services,non_energy_goods,gap_vs_target,gap_vs_euro_area
2012-12-01,ES,Spain,3.0,2.1,7.6,3.3,2.1,2.1,1.0,0.7999999999999998
2013-05-01,ES,Spain,1.8,2.0,-1.8,3.5,1.9,2.1,-0.19999999999999996,0.40000000000000013
2013-09-01,ES,Spain,0.5,0.5,-3.7,3.0,0.9,-0.1,-1.5,-0.6000000000000001
2013-12-01,ES,Spain,0.3,-0.1,0.2,1.8,-0.1,-0.2,-1.7,-0.5
2014-02-01,ES,Spain,0.1,0.0,-1.7,1.3,-0.1,0.0,-1.9,-0.6
2014-05-01,ES,Spain,0.2,-0.1,3.0,-0.4,0.0,-0.2,-1.8,-0.3
2014-08-01,ES,Spain,-0.5,0.0,-0.9,-1.8,0.0,-0.2,-2.5,-0.9
2014-10-01,ES,Spain,-0.2,-0.2,-1.1,0.4,-0.1,-0.4,-2.2,-0.6000000000000001
2015-01-01,ES,Spain,-1.5,0.0,-11.4,-0.3,0.3,-0.3,-3.5,-0.9
2015-11-01,ES,Spain,-0.4,0.7,-9.9,1.7,0.9,0.5,-2.4,-0.5
2015-12-01,ES,Spain,-0.1,0.6,-7.4,1.8,0.8,0.4,-2.1,-0.4
2016-04-01,ES,Spain,-1.2,0.5,-15.1,1.8,0.6,0.4,-3.2,-0.8999999999999999
2017-01-01,ES,Spain,2.9,1.2,17.4,1.1,1.2,0.7,0.8999999999999999,1.2
2018-01-01,ES,Spain,0.7,1.0,-1.7,1.3,1.4,0.1,-1.3,-0.6000000000000001
2018-08-01,ES,Spain,2.2,0.9,11.1,2.0,1.4,0.1,0.20000000000000018,0.10000000000000009
2019-02-01,ES,Spain,1.1,0.7,2.6,1.4,1.2,0.0,-0.8999999999999999,-0.3999999999999999
2019-07-01,ES,Spain,0.6,1.1,-2.4,0.9,1.5,0.5,-1.4,-0.4
2019-11-01,ES,Spain,0.5,1.1,-5.1,1.5,1.6,0.3,-1.5,-0.5
2020-02-01,ES,Spain,0.9,1.3,-3.3,1.8,1.7,0.6,-1.1,-0.29999999999999993
2020-03-01,ES,Spain,0.1,1.1,-9.6,2.2,1.5,0.4,-1.9,-0.6
2021-03-01,ES,Spain,1.2,0.0,8.5,1.3,-0.2,0.3,-0.8,-0.10000000000000009
2021-08-01,ES,Spain,3.3,0.6,23.4,1.6,0.8,0.5,1.2999999999999998,0.2999999999999998
2022-03-01,ES,Spain,9.8,3.0,60.3,6.4,2.8,3.1,7.800000000000001,2.4000000000000004
2022-04-01,ES,Spain,8.3,3.4,33.3,9.3,4.1,2.3,6.300000000000001,0.9000000000000004
2022-09-01,ES,Spain,9.0,4.8,22.2,13.1,4.4,5.3,7.0,-0.9000000000000004
2023-08-01,ES,Spain,2.4,4.3,-21.2,10.1,4.2,3.8,0.3999999999999999,-2.8000000000000003
2023-11-01,ES,Spain,3.3,3.4,-9.8,8.6,4.2,1.9,1.2999999999999998,0.8999999999999999
2024-01-01,ES,Spain,3.5,3.2,-2.4,6.9,3.7,2.0,1.5,0.7000000000000002
2024-11-01,ES,Spain,2.4,2.5,2.6,2.0,3.5,0.2,0.3999999999999999,0.19999999999999973
2025-02-01,ES,Spain,2.9,2.3,8.6,2.3,3.3,0.0,0.8999999999999999,0.6000000000000001
2025-04-01,ES,Spain,2.2,3.0,-2.5,2.2,4.1,0.3,0.20000000000000018,0.0
2000-05-01,FR,France,1.5,0.1,12.0,2.0,0.3,-0.2,-0.5,-0.30000000000000004
2000-09-01,FR,France,2.3,0.4,15.0,3.3,0.5,0.3,0.2999999999999998,-0.10000000000000009
2001-01-01,FR,France,1.3,0.7,1.4,3.3,1.0,0.3,-0.7,-0.7
2001-10-01,FR,France,1.8,1.5,-4.3,5.5,1.8,1.0,-0.19999999999999996,-0.40000000000000013
2002-04-01,FR,France,2.1,1.9,-0.9,3.8,2.6,0.9,0.10000000000000009,-0.2999999999999998
2002-05-01,FR,France,1.6,2.0,-4.2,2.5,2.8,0.9,-0.3999999999999999,-0.5
2002-11-01,FR,France,2.1,2.1,1.9,2.3,3.1,0.7,0.10000000000000009,-0.19999999999999973
2003-02-01,FR,France,2.6,2.0,7.9,2.2,2.8,1.0,0.6000000000000001,0.20000000000000018
2003-03-01,FR,France,2.5,1.8,8.6,2.6,2.7,0.5,0.5,0.10000000000000009
2003-04-01,FR,France,2.0,1.7,2.1,2.8,2.5,0.4,0.0,-0.10000000000000009
2004-10-01,FR,France,2.3,1.6,10.0,1.6,2.7,-0.1,0.2999999999999998,-0.10000000000000009
2005-02-01,FR,France,1.9,1.5,8.7,0.4,3.0,-0.6,-0.10000000000000009,-0.20000000000000018
2006-08-01,FR,France,2.1,1.5,7.0,2.0,2.5,0.0,0.10000000000000009,-0.19999999999999973
2006-10-01,FR,France,1.2,1.4,-1.6,1.8,2.6,-0.2,-0.8,-0.40000000000000013
2006-11-01,FR,France,1.6,1.6,0.6,2.1,2.6,0.0,-0.3999999999999999,-0.19999999999999996
2006-12-01,FR,France,1.7,1.7,2.1,1.6,2.7,0.3,-0.30000000000000004,-0.19999999999999996
2007-01-01,FR,France,1.4,1.6,-0.3,1.5,2.7,-0.1,-0.6000000000000001,-0.40000000000000013
2008-02-01,FR,France,3.2,1.7,11.3,5.0,2.5,0.6,1.2000000000000002,-0.09999999999999964
2008-07-01,FR,France,4.0,1.7,18.2,6.3,2.6,0.4,2.0,-0.09999999999999964
2008-11-01,FR,France,1.9,1.7,-0.4,3.5,2.5,0.5,-0.10000000000000009,-0.20000000000000018
2009-06-01,FR,France,-0.6,1.5,-16.5,-0.3,2.5,-0.1,-2.6,-0.5
